message,attributes,tags,timestamp
"    return getattr(self.get_queryset(), name)(*args, **kwargs)","{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.288874960Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.288878970Z
           ^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.289687560Z
"  File ""/usr/local/lib/python3.11/site-packages/django/db/backends/base/base.py"", line 320, in cursor","{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.289700110Z
"  File ""/usr/local/lib/python3.11/site-packages/django/db/models/query.py"", line 631, in get","{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.289707720Z
    return self._cursor(),"{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.289708740Z
    num = len(clone),"{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.289717150Z
           ^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.289717450Z
"  File ""/usr/local/lib/python3.11/site-packages/django/db/backends/base/base.py"", line 296, in _cursor","{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.289725240Z
          ^^^^^^^^^^,"{""level"":""error""}","{""project"":""70a52d41-885a-4854-b650-392635199b54"",""environment"":""67be7a60-8b6c-4987-8690-dbef25befe73"",""service"":""0f0f8a2f-9703-4f78-a3ed-8fcc57a55f5a"",""deployment"":""7bae97c9-ccbe-49fe-a672-c3ea4a2a6d1e"",""replica"":""5a8db334-f6d0-4ba9-a018-aa1be977e5fd""}",2026-02-15T09:40:32.289725640Z
